hour,load
0,193.987
0.043478261,187.12
0.086956522,189.514
0.130434783,190.69
0.173913043,206.349
0.217391304,201.094
0.260869565,223.495
0.304347826,230.597
0.347826087,228.001
0.391304348,237.563
0.434782609,233.098
0.47826087,248.331
0.52173913,225.034
0.565217391,221.596
0.608695652,242.23
0.652173913,235.041
0.695652174,237.329
0.739130435,254.505
0.782608696,253.179
0.826086957,236.71
0.869565217,221.068
0.913043478,204.747
0.956521739,185.549
1,172.146
